Autor;anyo;Titulo;Pais/Estudios;Efectividad(transmision);Efectividad(Infeccion);Efectividad(Hospitalizacion);Efectividad(Uci);Efectividad(Muerte);Pfizer;Moderna;J&J;Astrazeneca;Sinopharm;Reduccion;Link
Peruman;2022;Impact of COVID-19 immunisation on COVID-19 incidence, hospitalisations, and deaths by age group in Germany from December 2020 to October 2021;Alemania;;;90;;75;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S0264410X22004170
Perrella;2022;Postvaccination SARS-CoV-2 Infections among Healthcare Professionals: A Real World Evidence Study;Italia;;88;;;;1;0;0;0;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00511/article_deploy/vaccines-10-00511.pdf
Shah;2022;BNT162b2 and ChAdOx1 nCoV-19 vaccinations, incidence of SARS-CoV-2 infections and COVID-19 hospitalisations in Scotland in the Delta era;Escocia;;81;60;;;1;0;0;1;0;0;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8942298/
Hermosilla;2022;Comparative effectiveness and safety of homologous two-dose ChAdOx1 versus heterologous vaccination with ChAdOx1 and BNT162b2;Espanya;;66;90;;100;1;0;0;1;0;0;https://www.nature.com/articles/s41467-022-29301-9
Moreira;2022;Safety and Efficacy of a Third Dose of BNT162b2 Covid-19 Vaccine;Estados Unidos,Africa del Sur,Brasil;;95;;;;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2200674
Diallo;2022;Efficacy of approved vaccines to prevent COVID-19: a systematic review and network meta-analysis of reconstructed individual patient data from randomized trials;8 estudios;;85;;;;1;1;1;1;0;0;https://link.springer.com/article/10.1007/s10389-022-01707-1
Tek Ng;2022;Impact of SARS-CoV-2 Vaccination and Paediatric Age on Delta Variant Household Transmission;Singapur;50;;;;;1;1;0;0;0;0;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciac219/6551710?login=false
Fano;2022;Effectiveness of the Comirnaty and the Vaxzevria vaccines in preventing SARS-CoV-2 infection among residents in Lazio region (Italy);Italia;;86;;;;1;0;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S0264410X22002080
Arregoces-Castillo;2022;Effectiveness of COVID-19 vaccines in older adults in Colombia: a retrospective, population-based study of the ESPERANZA cohort;Colombia;;;61;;75;1;0;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S2666756822000356#!
Xie;2022;Comparative effectiveness of the BNT162b2 and ChAdOx1 vaccines against Covid-19 in people over 50;Reino Unido;;70;87;;;1;0;0;1;0;0;https://www.nature.com/articles/s41467-022-29159-x
Chang;2022;Effectiveness of BNT162b2 and mRNA-1273 Vaccines against COVID-19 Infection: A Meta-Analysis of Test-Negative Design Studies ;19 estudios;;90;;;;1;1;0;0;0;0;https://www.mdpi.com/2076-393X/10/3/469/htm
Bekker;2022;Effectiveness of the Ad26.COV2.S vaccine in health-care workers in South Africa (the Sisonke study): results from a single-arm, open-label, phase 3B, implementation study;Africa del Sur;;;67;75;83;0;0;1;0;0;0;https://www.sciencedirect.com/science/article/pii/S0140673622000071
Feikin;2022;Duration of effectiveness of vaccines against SARS-CoV-2 infection and COVID-19 disease: results of a systematic review and meta-regression;18 estudios;;50;70;75;90;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S0140673622001520?dgcid=raven_sd_recommender_email
Sikora;2022; COVID-19 Vaccination and Rates of Infections, Hospitalizations, ICU Admissions, and Deaths in the European Economic Area during Autumn 2021 Wave of SARS-CoV-2 ;Europa;;;75;72;74;1;1;1;1;1;1;https://www.mdpi.com/2076-393X/10/3/437/htm
Rearte;2022;Effectiveness of rAd26-rAd5, ChAdOx1 nCoV-19, and BBIBP-CorV vaccines for risk of infection with SARS-CoV-2 and death due to COVID-19 in people older than 60 years in Argentina: a test-negative, case-control, and retrospective longitudinal study;Argentina;;81;;;89;0;0;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S0140673622000113
Amodio;2022;Effectiveness of mRNA COVID-19 Vaccination on SARS-CoV-2 Infection and COVID-19 in Sicily over an Eight-Month Period;Italia;;81;96;93;93;1;1;0;0;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00426/article_deploy/vaccines-10-00426.pdf
Kaura;2022;Comparing the longer-term effectiveness of a single dose of the Pfizer-BioNTech and Oxford-AstraZeneca COVID-19 vaccines across the age spectrum;Reino Unido;;30;75;;85;1;0;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S2589537022000748#tbl0002
Fowlkes;2022;Effectiveness of 2-Dose BNT162b2 (Pfizer BioNTech) mRNA Vaccine in Preventing SARS-CoV-2 Infection Among Children Aged 5-11 Years and Adolescents Aged 12-15 Years - PROTECT Cohort, July 2021-February 2022;Estados Unidos;;45;;;;1;0;0;0;0;1;https://www.cdc.gov/mmwr/volumes/71/wr/mm7111e1.htm
Oliver;2022;Vaccine Effectiveness Against SARS-CoV-2 Infection and Severe Outcomes in the Maintenance Dialysis Population in Ontario, Canada;Canada;;70;83;83;83;1;1;0;0;0;0;https://jasn.asnjournals.org/content/jnephrol/early/2022/03/09/ASN.2021091262.full.pdf
Abu-Raddad;2022;Effect of mRNA Vaccine Boosters against SARS-CoV-2 Omicron Infection in Qatar;Qatar;;49;74;;74;1;1;0;0;0;0;https://www.nejm.org/doi/pdf/10.1056/NEJMoa2200797?articleTools=true
Lauring;2022;Clinical severity of, and effectiveness of mRNA vaccines against, covid-19 from omicron, delta, and alpha SARS-CoV-2 variants in the United States: prospective observational study;Estados Unidos;;;85;;;1;1;0;0;0;0;https://www.bmj.com/content/376/bmj-2021-069761
Botton;2022; Effectiveness of Ad26.COV2.S Vaccine vs BNT162b2 Vaccine for COVID-19 Hospitalizations ;Francia;;80;;;;1;0;1;0;0;0;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789572
Cura-Bilbao;2022;Effectiveness of 3 COVID-19 Vaccines in Preventing SARS-CoV-2 Infections, January-May 2021, Aragon, Spain;Espanya;;;70;;;1;1;0;1;0;0;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8888243/
Salo;2022;The indirect effect of mRNA-based COVID-19 vaccination on healthcare workers unvaccinated household members;Finlandia;;39;;;;1;1;0;0;0;1;https://www.nature.com/articles/s41467-022-28825-4
Hatcher;2022;COVID-19 Vaccine Effectiveness: A Review of the First 6 Months of COVID-19 Vaccine Availability (1 January-30 June 2021);50 estudios;;80;90;92;95;1;1;1;1;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00393/article_deploy/vaccines-10-00393.pdf
Perry;2022;COVID-19 vaccine uptake and effectiveness in adults aged 50 years and older in Wales UK: a 1.2m population data-linkage cohort approach;Reino Unido;;42;84;;80;1;0;0;1;0;0;https://www.tandfonline.com/doi/pdf/10.1080/21645515.2022.2031774
Petrovic;2022;Early Effectiveness of Four SARS-CoV-2 Vaccines in Preventing COVID-19 among Adults Aged > 60 Years in Vojvodina, Serbia;Serbia;;90;;;;1;0;0;0;1;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00389/article_deploy/vaccines-10-00389.pdf
Klein;2022;Effectiveness of COVID-19 Pfizer-BioNTech BNT162b2 mRNA Vaccination in Preventing COVID-19–Associated Emergency Department and Urgent Care Encounters and Hospitalizations Among Nonimmunocompromised Children and Adolescents Aged 5-17 Years - VISION Network, 10 States, April 2021-January 2022;Estados Unidos;;;85;90;;1;0;0;0;0;0;https://www.cdc.gov/mmwr/volumes/71/wr/mm7109e3.htm
Oliveira;2022;Assessment of Clinical Effectiveness of BNT162b2 COVID-19 Vaccine in US Adolescents ;Estados Unidos;;91;;;;1;0;0;0;0;0;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2789579
Andrews;2022;Covid-19 Vaccine Effectiveness against the Omicron (B.1.1.529) Variant;Inglaterra;;60;;;;1;1;0;1;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2119451?query=featured_home
Robles-Fontan;2022;Effectiveness estimates of three COVID-19 vaccines based on observational data from Puerto Rico;Puerto Rico;;80;80;;90;1;1;1;0;0;0;https://www.sciencedirect.com/science/article/pii/S2667193X22000291
Wright;2022;Comparative vaccine effectiveness against severe COVID-19 over time in US hospital administrative data: a case-control study;Estados Unidos;;;80;;85;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S221326002200042X
Malli;2022;Association of SARS-CoV-2 Vaccinations with SARS-CoV-2 Infections, ICU Admissions and Deaths in Greece;Grecia;;50;;;70;1;0;1;1;0;1;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00337/article_deploy/vaccines-10-00337.pdf?version=1645430390
Lin;2022;Multiple COVID-19 Waves and Vaccination Effectiveness in the United States;Estados Unidos;;;;;90;1;1;1;1;0;0;https://mdpi-res.com/d_attachment/ijerph/ijerph-19-02282/article_deploy/ijerph-19-02282.pdf?version=1645092890
Alaa;2022;The Burden of Coronavirus Disease 2019–Related Cases, Hospitalizations, and Mortality Based on Vaccination Status and Mandated Mask Use: Statewide Data From Wisconsin  ;Estados Unidos;;66;72;;90;1;1;1;1;0;0;https://journals.lww.com/anesthesia-analgesia/Abstract/2022/03000/The_Burden_of_Coronavirus_Disease_2019_Related.13.aspx
Passarelli-Araujo;2022;The impact of COVID-19 vaccination on case fatality rates in a city in Southern Brazil;Brasil;;;;;40;1;1;1;1;0;1;https://www.sciencedirect.com/science/article/pii/S0196655322000955#!
Marra;2022;The long-term effectiveness of coronavirus disease 2019 (COVID-19) vaccines: A systematic literature review and meta-analysis;16 estudios;;61;88;;;1;1;1;1;0;0;https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A697CC464EB05654A3B5E1A626B3CF50/S2732494X21002618a.pdf/longterm_effectiveness_of_coronavirus_disease_2019_covid19_vaccines_a_systematic_literature_review_and_metaanalysis.pdf
Filon;2022;Incidence of COVID-19 infection in hospital workers from March 1, 2020 to May 31, 2021 routinely tested, before and after vaccination with BNT162B2;Italia;;95;;;;1;1;1;1;0;0;https://www.nature.com/articles/s41598-021-04665-y
Marrone;2022;Risk reduction of severe outcomes in vaccinated COVID-19 cases: an analysis of surveillance data from Estonia, Ireland, Luxembourg and Slovakia, January to November 2021;Estonia,Irlanda,Luxemburgo,Eslovaquia;;;70;;80;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2022.27.7.2200060
UKHSA;2022;The effectiveness of vaccination against long COVID A rapid evidence review briefing;15 estudios;;50;;;;1;1;1;1;0;0;https://ukhsa.koha-ptfs.co.uk/cgi-bin/koha/opac-retrieve-file.pl?id=fe4f10cd3cd509fe045ad4f72ae0dfff
Hall;2022;Protection against SARS-CoV-2 after Covid-19 Vaccination and Previous Infection;Reino Unido;;80;;;;1;0;0;1;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2118691
Marks;2022;Hospitalizations of Children and Adolescents with Laboratory-Confirmed COVID-19 — COVID-NET, 14 States, July 2021–January 2022;Estados Unidos;;;88;;;1;1;1;1;0;0;https://www.cdc.gov/mmwr/volumes/71/wr/mm7107e4.htm?s_cid=mm7107e4_w
Fabiani;2022;Effectiveness of mRNA vaccines and waning of protection against SARS-CoV-2 infection and severe covid-19 during predominant circulation of the delta variant in Italy: retrospective cohort study;Italia;;60;85;85;85;1;1;0;0;0;0;https://www.bmj.com/content/376/bmj-2021-069052.full
Perinet;2022;Analysis of COVID-19 Risk Following a Ring Vaccination Intervention to Address SARS-CoV-2 Alpha Variant Transmission in Montreal, Canada ;Canada;40;;;;;1;1;1;1;0;0;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2788978
Ranzani;2022;Vaccine effectiveness of ChAdOx1 nCoV-19 against COVID-19 in a socially vulnerable community in Rio de Janeiro, Brazil: a test-negative design study;Brasil;;60;;;;0;0;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S1198743X22000568
Adler;2022;BNT162b2 mRNA COVID-19 (Comirnaty) Vaccine Effectiveness in Elderly Patients Who Live in Long-Term Care Facilities: A Nationwide Cohort;Israel;;81;;;85;1;0;0;0;0;0;https://www.karger.com/Article/FullText/521899
Cerqueira-Silva;2022;Vaccine effectiveness of heterologous CoronaVac plus BNT162b2 in Brazil;Brasil;;90;97;97;97;0;0;0;0;0;0;https://www.nature.com/articles/s41591-022-01701-w
Huang;2022;A review of the safety and efficacy of current COVID-19 vaccines;20 estudios;;80;87;86;90;1;1;1;1;1;0;https://link.springer.com/content/pdf/10.1007/s11684-021-0893-y.pdf
Sritipsukho;2022; Comparing real-life effectiveness of various COVID-19 vaccine regimens during the delta variant-dominant pandemic: a test-negative case-control study ;Tailandia;;90;;;;1;1;1;1;0;0;https://pubmed.ncbi.nlm.nih.gov/35114893/
Nordstrom;2022;Risk of infection, hospitalisation, and death up to 9 months after a second dose of COVID-19 vaccine: a retrospective, total population cohort study in Sweden;Suecia;;60;;;80;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S0140673622000897
Cheng;2022;Effectiveness of the WHO-Authorized COVID-19 Vaccines: A Rapid Review of Global Reports till 30 June 2021;39 estudios;;92;;;;1;1;1;1;1;0;https://www.mdpi.com/2076-393X/9/12/1489/htm
Sadoff;2022;Final Analysis of Efficacy and Safety of Single-Dose Ad26.COV2.S;Peru,Brasil,Africa del Sur,Estados Unidos,Colombia;;52;52;52;52;0;0;1;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2117608
Nasreen;2022;Effectiveness of COVID-19 vaccines against symptomatic SARS-CoV-2 infection and severe outcomes with variants of concern in Ontario;Canada;;88;87;;;1;1;1;1;0;0;https://www.nature.com/articles/s41564-021-01053-0
Tseng;2022;Effectiveness of Mrna-1273 against SARS-CoV-2 Omicron and Delta variants;Estados Unidos;;60;99;;;0;1;0;0;0;0;https://www.nature.com/articles/s41591-022-01753-y
Mallow;2022;Real world SARS-COV-2 vaccine effectiveness in a Miami academic institution;Estados Unidos;;75;;;;1;1;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S073567572200078X
Kow;2022;The effectiveness of BNT162b2 mRNA vaccine against COVID-19 caused by Delta variant of SARS-CoV-2: a systematic review and meta-analysis;7 estudios;;81;;;;1;1;1;1;0;0;https://link.springer.com/article/10.1007/s10787-021-00915-7
Paetzold;2022;Impacts of rapid mass vaccination against SARS-CoV2 in an early variant of concern hotspot;Austria;;55;;26;;1;0;0;0;0;1;https://www.nature.com/articles/s41467-022-28233-8
Rahman;2022;A comprehensive review on COVID-19 vaccines: development, effectiveness, adverse effects, distribution and challenges;156 estudios;;80;;;;1;1;1;1;1;0;https://link.springer.com/article/10.1007/s13337-022-00755-1
Mohammed;2022;The efficacy and effectiveness of the COVID-19 vaccines in reducing infection, severity, hospitalization, and mortality: a systematic review;42 estudios;;72;87;;87;1;1;1;1;1;0;https://www.tandfonline.com/doi/full/10.1080/21645515.2022.2027160
Huang;2022;Impact of vaccination on the COVID-19 pandemic in U.S. states;Estados Unidos;;15;12;;20;1;1;1;1;0;1;https://www.nature.com/articles/s41598-022-05498-z#MOESM1
Cohn;2022;SARS-CoV-2 vaccine protection and deaths among US veterans during 2021;Estados Unidos;;55;;;70;1;1;1;1;0;0;https://www.science.org/doi/full/10.1126/science.abm0620
Abu-Raddad;2022;Relative infectiousness of SARS-CoV-2 vaccine breakthrough infections, reinfections, and primary infections;Qatar;50;;;;;1;1;0;0;0;0;https://www.nature.com/articles/s41467-022-28199-7
Coggiola;2022;SARS-CoV-2 infection: efficacy of extensive vaccination of the healthcare workforce in a large Italian hospital;Italia;;91;;;;1;0;0;0;0;0;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8759049/
Danza;2022;SARS-CoV-2 Infection and Hospitalization Among Adults Aged ≥18 Years, by Vaccination Status, Before and During SARS-CoV-2 B.1.1.529 (Omicron) Variant Predominance - Los Angeles County, California, November 7, 2021-January 8, 2022;Estados Unidos;;70;90;;;1;1;1;1;0;0;https://www.cdc.gov/mmwr/volumes/71/wr/mm7105e1.htm?s_cid=mm7105e1_x
RKI;2022;Informe del RKI sobre la enfermedad del Coronavirus (COVID-19) 27.01.2022 –Izado para Alemania;Alemania;;90;95;;;1;1;1;1;0;0;https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Wochenbericht/Wochenbericht_2022-01-27.pdf?__blob=publicationFile
Chadeau-Hyam;2022;SARS-CoV-2 infection and vaccine effectiveness in England (REACT-1): a series of cross-sectional random community surveys;Inglaterra;;62;;;;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S2213260021005427
Hayek;2022;Indirect protection of children from SARS-CoV-2 infection through parental vaccination;Israel;;60;;;;1;1;1;1;0;1;https://www.science.org/doi/10.1126/science.abm3087
Corrao;2022;Persistence of protection against SARS-CoV-2 clinical outcomes up to 9 months since vaccine completion: a retrospective observational analysis in Lombardy, Italy;Italia;;50;70;;;1;1;0;1;0;0;https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00813-6/fulltext
Meggiolaro;2022;Effectiveness of Vaccination against SARS-CoV-2 Infection in the Pre-Delta Era: A Systematic Review and Meta-Analysis;27 estudios;;90;;;;1;1;0;1;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00157/article_deploy/vaccines-10-00157.pdf?version=1642728738
Alsaffar;2022;The Effectiveness of COVID-19 Vaccines in Improving the Outcomes of Hospitalized COVID-19 Patients ;Arabia Saudi;;;;;73;1;1;1;1;0;1;https://www.cureus.com/articles/84111-the-effectiveness-of-covid-19-vaccines-in-improving-the-outcomes-of-hospitalized-covid-19-patients
Hungria;2022;Nationwide effectiveness of five SARS-CoV-2 vaccines in Hungary-the HUN-VE study;Hungria;;70;;;91;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S1198743X2100639X
Grant;2022;Impact of SARS-CoV-2 Delta variant on incubation, transmission settings and vaccine effectiveness: Results from a nationwide case-control study in France;Francia;;63;;;;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S2666776221002647
Stowe;2022;Effectiveness of COVID-19 booster vaccines against covid-19 related symptoms, hospitalisation and death in England;Inglaterra;;87;98;;99;1;1;0;0;0;0;https://www.nature.com/articles/s41591-022-01699-1_reference.pdf?origin=ppub
Korang;2022;Vaccines to prevent COVID-19: A living systematic review with Trial Sequential Analysis and network meta-analysis of randomized clinical trials;30 estudios;;85;;;75;1;1;1;1;0;0;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260733
Kim;2022;Vaccination strategies and transmission of COVID-19: Evidence across advanced countries;Canada,Israel,Estados Unidos,Reino Unido,Chile,Uruguay,Emiratos Arabes Unidos,Bahrain;40;;;;;1;1;1;1;1;1;https://www.sciencedirect.com/science/article/pii/S0167629622000091
Wang;2022;Comparison of mRNA-1273 and BNT162b2 Vaccines on Breakthrough SARS-CoV-2 Infections, Hospitalizations, and Death During the Delta-Predominant Period;Estados Unidos;;90;;;;1;1;0;0;0;0;https://jamanetwork.com/journals/jama/fullarticle/2788408
Abu-Raddad;2022;Effectiveness of mRNA-1273 and BNT162b2 Vaccines in Qatar;Qatar;;70;90;;;1;1;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMc2117933
Quattrocchi;2022;Effect of vaccination on SARS-CoV-2 reinfection risk: a case–control study in the Republic of Cyprus;Chipre;;60;;;;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S0033350622000099#!
Ledda;2022;SARS-CoV-2 mRNA Vaccine Breakthrough Infections in Fully Vaccinated Healthcare Personnel: A Systematic Review;11 estudios;;90;;;;1;1;1;1;0;0;https://mdpi-res.com/d_attachment/tropicalmed/tropicalmed-07-00009/article_deploy/tropicalmed-07-00009.pdf?version=1642062245
Starrfelt ;2022;High vaccine effectiveness against coronavirus disease 2019 (COVID-19) and severe disease among residents and staff of long-term care facilities in Norway, November 2020-June 2021;Noruega;;82;100;;93;1;1;1;1;0;0;https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E69BB4907148FD3A54888828421CC402/S2732494X21002461a.pdf/high_vaccine_effectiveness_against_coronavirus_disease_2019_covid19_and_severe_disease_among_residents_and_staff_of_longterm_care_facilities_in_norway_november_2020june_2021.pdf
Johnson;2022;COVID-19 Incidence and Death Rates Among Unvaccinated and Fully Vaccinated Adults with and Without Booster Doses During Periods of Delta and Omicron Variant Emergence - 25 U.S. Jurisdictions, April 4-December 25, 2021;Estados Unidos;;57;;;76;1;1;1;1;1;0;https://www.cdc.gov/mmwr/volumes/71/wr/mm7104e2.htm?s_cid=mm7104e2_w#F1_down
Damanesco;2022; The Impact of Vaccination Worldwide on SARS-CoV-2 Infection: A Review on Vaccine Mechanisms, Results of Clinical Trials, Vaccinal Coverage and Interactions with Novel Variants ;40 estudios;;93;;;;1;1;1;1;1;0;https://www.ingentaconnect.com/content/ben/cmc/pre-prints/content-34473613
Bedston;2022;COVID-19 vaccine uptake, effectiveness, and waning in 82,959 health care workers: A national prospective cohort study in Wales;Wales;;65;;;;1;0;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S0264410X21015358?casa_token=aEHAySKWXK0AAAAA:asp_oD5GaNpGrICatg2Ym_cCEE_u-JvUn5MFZVhFCuDDEg5TVbqLMNR1hywAyr6OrB95tuGusbNT
UKHSA;2022;SARS-CoV-2 variants of concern and variants under investigation in England Technical briefing 34;Inglaterra;;50;86;;;1;1;0;1;0;0;https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050236/technical-briefing-34-14-january-2022.pdf
Spitzer;2022; Association of a Third Dose of BNT162b2 Vaccine With Incidence of SARS-CoV-2 Infection Among Health Care Workers in Israel ;Israel;;95;;;;1;1;1;1;0;0;https://jamanetwork.com/journals/jama/fullarticle/2788104
Andrews;2022;Duration of Protection against Mild and Severe Disease by Covid-19 Vaccines;Reino Unido;;;80;;86;1;0;0;1;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2115481
Olson;2022;Effectiveness of BNT162b2 Vaccine against Critical Covid-19 in Adolescents;Estados Unidos;;;94;98;100;1;1;1;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2117995
Malhotra;2022;Original Investigation | Infectious Diseases SARS-CoV-2 Reinfection Rate and Estimated Effectiveness of the Inactivated Whole Virion Vaccine BBV152 Against Reinfection Among Health Care Workers in New Delhi, India;India;;85;;;;0;0;0;0;0;0;https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2787712/malhotra_2022_oi_211176_1640714794.01063.pdf
Eyre;2022;Effect of Covid-19 Vaccination on Transmission of Alpha and Delta Variants;Inglaterra;50;;;;;1;0;0;1;0;1;https://www.nejm.org/doi/full/10.1056/NEJMoa2116597
Lin;2022;Effectiveness of Covid-19 Vaccines over a 9-Month Period in North Carolina;Estados Unidos;;85;90;;93;1;1;1;1;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2117128
Vitek;2022;Vaccine effectiveness against severe acute respiratory infections (SARI) COVID-19 hospitalisations estimated from real-world surveillance data, Slovenia, October 2021;Eslovenia;;;82;;;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2022.27.1.2101110
Yek;2022;Risk Factors for Severe COVID-19 Outcomes Among Persons Aged ≥18 Years Who Completed a Primary COVID-19 Vaccination Series - 465 Health Care Facilities, United States, December 2020-October 2021;Estados Unidos;;;90;92;95;1;1;1;1;0;0;https://www.cdc.gov/mmwr/volumes/71/wr/mm7101a4.htm
Kow;2022;The effectiveness of mRNA-1273 vaccine against COVID-19 caused by Delta variant: A systematic review and meta-analysis;5 estudios;;91;;;;0;1;0;0;0;0;https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.27568
Ozun;2022;COVID-19: vaccination vs. Hospitalization;Turquia;;;;70;;1;0;0;0;1;1;https://link.springer.com/article/10.1007/s15010-021-01751-1
ICNARC;2022;ICNARC report on COVID-19 in criƟcal care: England, Wales and Northern Ireland 7 January 2022;Reino Unido;;;;80;;1;1;1;1;0;1;https://web.archive.org/web/20220114010127/https://www.icnarc.org/DataServices/Attachments/Download/5d46be46-e36f-ec11-913a-00505601089b
Taib;2022;Characterisation of COVID-19 deaths by vaccination types and status in Malaysia between February and September 2021;Malasia;;;;;97;1;0;0;0;0;0;https://www.thelancet.com/journals/lanwpc/article/PIIS2666-6065(21)00263-7/fulltext
Candia;2021;EFECTO DE LA VACUNACIÓN SOBRE LA TRANSMISIÓN INTRADOMICILIARIA DEL SARS-COV-2, PROVINCIA DE SANTA FE, ARGENTINA, 2021;Argentina;68;;;;;0;0;0;1;0;0;https://www.rasp.msal.gov.ar/index.php/rasp/article/download/725/738
Lutrick;2022;Interim Estimate of Vaccine Effectiveness of BNT162b2 (Pfizer-BioNTech) Vaccine in Preventing SARS-CoV-2 Infection Among Adolescents Aged 12-17 Years - Arizona, July-December 2021;Estados Unidos;;93;;;;1;1;1;1;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm705152a2.htm
Collie;2022;Effectiveness of BNT162b2 Vaccine against Omicron Variant in South Africa;Africa del Sur;;;80;;;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMc2119270
Pastorino;2022;Change in age distribution of COVID-19 deaths with the introduction of COVID-19 vaccination;No aplicable;;;;;50;1;1;1;1;1;1;https://www.sciencedirect.com/science/article/pii/S0013935121016431?via%3Dihub
Keegan;2021;Analysis of Vaccine Effectiveness Against COVID-19 and the Emergence of Delta and Other Variants of Concern in Utah;Estados Unidos;;81;;;;1;0;0;1;0;0;https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2787438/keegan_2021_ld_210279_1639586053.54552.pdf
Tabak;2021;Incidence and Estimated Vaccine Effectiveness Against Symptomatic SARS-CoV-2 Infection Among Persons Tested in US Retail Locations, May 1 to August 7, 2021;Estados Unidos;;71;;;;1;1;1;1;0;1;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2787363
Petras;2021;The Effectiveness of Post-Vaccination and Post-Infection Protection in the Hospital Staff of Three Prague Hospitals: A Cohort Study of 8-Month Follow-Up from the Start of the COVID-19 Vaccination Campaign (COVANESS);Republica Checa;;88;;;;1;1;1;1;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-10-00009/article_deploy/vaccines-10-00009.pdf?version=1640176961
Pormohammad;2022;Effectiveness of COVID-19 Vaccines against Delta (B.1.617.2) Variant: A Systematic Review and Meta-Analysis of Clinical Studies;15 estudios;;57;98;98;98;1;1;1;1;1;0;https://research.gums.ac.ir/uploads/26/covid/dey/Effectiveness%20of%20COVID-19%20Vaccines.pdf
Wanga;2021;Characteristics and Clinical Outcomes of Children and Adolescents Aged <18 Years Hospitalized with COVID-19 - Six Hospitals, United States, July-August 2021;Estados Unidos;;;96;;;1;0;0;0;0;1;https://www.cdc.gov/mmwr/volumes/70/wr/mm705152a3.htm?s_cid=mm705152a3_w
Loannou;2022;COVID-19 Vaccination Effectiveness Against Infection or Death in a National U.S. Health Care System;Estados Unidos;;69;;;86;1;1;0;0;0;0;https://www.acpjournals.org/doi/full/10.7326/M21-3256?journalCode=aim
Cerqueira-Silva;2022;Influence of age on the effectiveness and duration of protection of Vaxzevria and CoronaVac vaccines: A population-based study;Brasil;;;81;81;82;0;0;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S2667193X21001502#!
Katikireddi;2022;Two-dose ChAdOx1 nCoV-19 vaccine protection against COVID-19 hospital admissions and deaths over time: a retrospective, population-based cohort study in Scotland and Brazil;Brasil;;;84;;85;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S0140673621027549#sec1
Muhsen;2022;Effects of BNT162b2 Covid-19 Vaccine Booster in Long-Term Care Facilities in Israel;Israel;;71;80;;;1;1;1;1;0;1;https://www.nejm.org/doi/full/10.1056/NEJMc2117385
